,zcta,value_1_bed,value_2_bed,value_3_bed,value_4_bed,value_5_bed,all_homes,all_sfh,all_condo,all_homes_projections,all_homes_prior,all_homes_yy_smoothed,all_homes_200701,all_homes_201201,dollar_drop_2007_2012,household_income,household_income_prior,household_income_delta,pct_below_pov_line,pct_below_pov_line_prior,pct_below_pov_line_delta,total_pop,total_pop_delta,total_pop_prior,pct_wfh,pct_wfh_delta,pct_wfh_prior,pct_0_bed_rentals,pct_1_bed_rentals,pct_2_bed_rentals,pct_3_bed_rentals,pct_4_bed_rentals,pct_5_bed_rentals,pct_0_bed_stock,pct_1_bed_stock,pct_2_bed_stock,pct_3_bed_stock,pct_4_bed_stock,pct_5_bed_stock,pct_foreign,pct_foreign_delta,pct_foreign_prior,pct_white,pct_white_delta,pct_white_prior,pct_black,pct_black_delta,pct_black_prior,pct_asian,pct_asian_delta,pct_asian_prior,pct_hispanic,pct_hispanic_delta,pct_hispanic_prior,total_housing_units_delta,total_housing_units_prior,pct_with_bachelor,pct_with_bachelor_prior,pct_with_bachelor_delta,pct_under_18_prior,pct_under_18_delta,pct_under_5_prior,pct_under_5_delta,pct_over_65_prior,pct_over_65_delta,pct_vacancy_prior,pct_vacancy_delta,median_listing_price,active_listing_count,median_days_on_market,total_listing_count,new_listing_count,price_drops_pct_of_inventory,price_reduced_count,average_listing_price,median_listing_price_per_square_foot,active_listing_count_historical,total_listing_count_yy_smoothed,median_days_on_market_yy_smoothed,median_listing_price_yy_smoothed,average_listing_price_yy_smoothed
zcta,1.0,0.19545641157235547,0.149789268406481,0.1210382277422803,0.1155052467663763,0.10231431993271384,0.09510827833136327,0.0874347520442849,0.10048745297020292,-0.32093479648300544,0.09063136256792223,0.07861511610275465,0.10016377573019296,-0.02792915482686955,-0.2323428040479203,-0.07700340630590785,-0.0929353104288479,0.030983051537285793,0.07670995504036486,0.08774736732867643,-0.018518988322208448,0.09977041141193217,0.014087676389546317,0.09765706500237498,0.06691015738139125,-0.0343706800414022,0.11197476420899964,0.03465022000547312,-0.06911280542115303,0.0020146831995419565,0.033285881249555754,0.018746695560888788,-0.012414421265640121,0.08818608725051795,0.0393201918367062,0.06435528148624903,-0.04993895379675959,-0.052746187734870977,-0.023524216340131597,0.12172905764605799,-0.00449744045304863,0.12898344838603304,-0.1941067321555652,-0.011326152867436788,-0.19282003685978205,-0.12727356571473625,-0.011349630749465895,-0.12680086198916665,0.11088110193976873,-0.012248996804621876,0.11329961334633949,0.3167167518279891,-0.033379269886154264,0.31914326149251177,0.009506059358432465,0.06824886368572805,-0.08441875273914486,-0.0810368726332687,-0.0006448443590481942,0.12984896715101304,0.015619797186965066,0.12086376443445926,-0.015549226120079175,-0.03820439027535309,-0.0020651853770940806,-0.021752853266083904,-0.00732528020370205,0.06833978341846796,0.0155576059919334,-0.03897205368346655,0.03144161389994869,0.07221909142580213,0.07336675816998331,0.06444802035511057,0.06557672031173764,0.018460997395759276,0.0318883065147645,0.0472408162788671,0.005933014193031552,-0.0008083744876786361,-0.0007683961135759274
value_1_bed,0.19545641157235547,1.0,0.9444413766985768,0.8725339055255797,0.7896434973380864,0.6684095480205515,0.8727178141034209,0.801002927858173,0.9145287842025148,-0.17813735462437774,0.8711864417816391,-0.06369760456217034,0.7810675852479583,0.7752928031839964,0.0691509059210855,0.5521524094091901,0.4612777054919341,0.23914082292719913,-0.22923008200227538,-0.19114724333060407,-0.007233863385464677,0.03483498083789021,0.05457538800441713,0.04669700905786186,0.4378184518658926,0.07627597831151714,0.3500502020884324,0.3733818576777602,0.18743253990541262,-0.20335559576439224,-0.21704524663699307,-0.056515376846234686,0.01841172773737373,0.38374722747264933,0.2903514552780035,-0.07975666938098865,-0.3423283027276189,-0.06593903310549047,0.07334098631984338,0.30241264545228846,-0.04665988663072302,0.327537527916475,-0.11476564923876044,0.05378277769371516,-0.12672492430152496,-0.15671426009748887,-0.014661959171715835,-0.1540488581723976,0.409954275276258,-0.034865315968684786,0.4073439043676987,0.04094655089630334,-0.0163340584830287,0.07387413608615245,0.11210087634309672,0.04088357045299327,0.4814125336883936,0.4446076100013601,-0.017651688630248387,-0.23736824971933934,0.01603740792504853,-0.1587919030795161,0.00740427456715743,-0.025953042940587732,0.061716366112429547,-0.022110814403348878,0.1278414933056407,0.777291188005409,-0.05834459183110256,-0.03061644523921639,-0.07812731831125404,-0.11290575141836405,-0.16690454890008302,-0.14063652585400785,0.6868395516257438,0.8953793663229977,-0.02068024304269929,0.07470739672763765,0.050647196004443513,0.001913036749040164,-0.033315686497288687
value_2_bed,0.149789268406481,0.9444413766985768,1.0,0.9654711755612674,0.9111120856765005,0.8071679065540301,0.9314828011363794,0.9124840878320991,0.9426226579742771,-0.16247491079487064,0.9301709581605643,0.014431196802416259,0.8281828060151664,0.8330491658859979,-0.09250206322086992,0.5981375880376695,0.5337977546315573,0.1868431163038885,-0.2619436933394909,-0.23838850469082623,0.010142733794405816,0.14701222132576974,0.043441161732671166,0.17209966913844743,0.4912603921908973,0.04150933550263937,0.3686949086793075,0.30191420481314846,0.22813945909436287,-0.09146246095454302,-0.22342458602285808,-0.025479431330285327,0.019778767927708944,0.36020504975376105,0.3094394492657542,-0.0300103347536181,-0.39401766959852863,0.06478458401917321,0.1695920306469229,0.3972981356017478,-0.049354496247353344,0.4290675795704941,-0.1208791129820349,-0.015295222530733427,-0.1352315593309007,-0.14668977910808145,-0.011331927617905236,-0.13961447742207972,0.44709812991790226,-0.025284078868995943,0.4587801165165015,0.10908936522480286,-0.038321279591395294,0.1380159453511849,0.04815500501032921,0.18164467352888727,0.5689380394588762,0.559979537216447,-0.04246544999602786,-0.2313152987019022,0.004058996974400307,-0.15197848451056664,-0.00875360243204503,0.03188330723888268,0.037970616053067216,-0.007173226022486567,0.009045696304438449,0.7867589582982848,0.07541817575868673,-0.11898886911178841,0.08261165595678449,0.08786622510208468,-0.0018796947883021088,0.02930463865714683,0.6599141915682254,0.5985824396249351,0.1300268390841491,0.018984330574166933,0.0028970629556073144,-0.0009883457015242218,-0.0009764322627362222
value_3_bed,0.1210382277422803,0.8725339055255797,0.9654711755612674,1.0,0.9725392971417895,0.8931133592531328,0.9343481314948339,0.9517900731707923,0.9066507552037723,-0.1325023426002059,0.9330430588369727,0.028043345600589117,0.826313964620783,0.8339613365653924,-0.10894545596719125,0.5831378273777604,0.529853545037041,0.13681324306480444,-0.2578505326483932,-0.23871695566332238,0.007263022593129467,0.18216713577393417,0.03566501636959706,0.2046788498653649,0.4723275582643718,0.02815453800590577,0.345996195921778,0.2606385239512731,0.22067808130289254,-0.051838867106466506,-0.2129752441210686,-0.020116321308889757,0.022326918421996786,0.337379503177367,0.30403763540824863,-0.02830953299664745,-0.3919329657006705,0.098234774129465,0.19646971965415577,0.4035166921432101,-0.046733790676117486,0.43155131347508807,-0.11787880563797756,-0.024272425978776366,-0.12775208061562582,-0.13059380713742758,-0.014113441298880725,-0.12433467281924873,0.4450287841368315,-0.020799402628303106,0.45612113592395187,0.10695714781027535,-0.03480647384567009,0.12997840331283472,0.03860613389976757,0.22580949666721867,0.5855454733554929,0.5822708689018069,-0.04363166782050826,-0.2154876935855163,0.0024287845970914204,-0.13915950692125137,-0.014200250376926805,0.058935534993249904,0.007360460882510941,-0.0018444769346082723,-0.006132506889772269,0.7402901445972832,0.14024831277814415,-0.11782963979385402,0.146751345405183,0.1410501323263726,0.02865980217177172,0.07896326185285789,0.6885053857806529,0.5152868119535305,0.200599849803636,0.00641422650791635,-0.011189187594620887,-0.0014083222514970446,-0.0013870341116964738
value_4_bed,0.1155052467663763,0.7896434973380864,0.9111120856765005,0.9725392971417895,1.0,0.9603745745403353,0.9083040715366826,0.9597012670947077,0.8635794396853647,-0.1356913361460144,0.9060945658922507,0.01857034812122415,0.800956909080553,0.811020593896259,-0.06884535689672888,0.5676473397425325,0.5095366681613843,0.15571846127340502,-0.27340944782543675,-0.2510181735278603,0.0268884746625078,0.09791383931569837,0.026861333196297313,0.11375652116266935,0.5093844352139165,0.033271236679381706,0.4278484698699844,0.23473170758429712,0.1731015744684011,-0.053005968923692616,-0.18987418511013934,-0.0025225513394575814,0.04021096794203919,0.2918657343597586,0.2219129081523908,-0.03076535170422936,-0.3622080624907159,0.11672040930892737,0.22055524107192406,0.33147821291437496,-0.04106492901709072,0.3512246859856744,-0.0525720535181984,-0.02104745774188178,-0.058672838099530944,-0.15309751219569423,-0.011744036658043263,-0.14607433739063594,0.3718062680441692,-0.02257402435907228,0.3768371876539691,0.04923495316711753,-0.0187956361130484,0.06634999953482672,0.028942141586428063,0.14814667264546058,0.575699432842251,0.5644635289651952,-0.05884770858077967,-0.23245501622472467,0.003347366801365304,-0.1800904093573585,0.002146018026262506,0.13201629441094845,0.01783492742531154,0.06709908142947896,0.016120235720838108,0.7852693645674568,0.1371948680200143,-0.06889545489740533,0.13147952554017803,0.10065912984498124,-0.024273430199307517,0.0578401282907399,0.7560597127987219,0.7960713576090713,0.20722275372702378,0.0160007346104838,0.007016172642655604,-0.0007162539221332757,-0.0007123849002291335
value_5_bed,0.10231431993271384,0.6684095480205515,0.8071679065540301,0.8931133592531328,0.9603745745403353,1.0,0.8511657861877688,0.9257361141752746,0.7647861155337446,-0.10461435436497932,0.8463018137261621,0.009652381709610958,0.7491686564611441,0.7581998783967436,-0.021729322237272974,0.5032563136148243,0.4397017434083425,0.16781914099524503,-0.2425027622979085,-0.22241695686184465,0.05091680798779142,-0.08163919686875087,0.028600727139883424,-0.07058383889707712,0.49808350843865207,0.0461068121305424,0.4892756028195873,0.2227604685124798,0.13476005019030257,-0.0517521403487053,-0.175091632369836,-0.005105551268390334,0.0778224525815509,0.23221401272434813,0.16252916273587395,0.015392518103974339,-0.34154135387430373,0.049026252119860676,0.21669261784106547,0.25683381102192865,-0.014170853910897152,0.2659277751331766,0.025245998777864168,-0.009035161392527101,0.023639388290228363,-0.1830567938946849,0.003156626613373317,-0.1765275289269213,0.26658164678264595,-0.012940323644371626,0.2634776666631999,-0.011531922997243076,0.035246738994966165,0.0004445329108502092,0.029798487992196407,-0.02065352408411622,0.519360820301567,0.49797776883188605,-0.06605885270116822,-0.2673078809602018,0.017256261034875056,-0.25660673513723986,0.03255298538159744,0.24764073159144723,-0.01850909782326629,0.20290683528002543,0.05951874413098839,0.7800851493817965,0.0959584832095492,0.051958222040713445,0.06135293567734769,-0.0217883128164627,-0.12715798820928662,-0.008188721188190536,0.7867878304383444,0.8515246555443192,0.17679950131299613,0.022140514402840285,0.02781746623776335,-0.0009296569506272315,-0.0009764234807104403
all_homes,0.09510827833136327,0.8727178141034209,0.9314828011363794,0.9343481314948339,0.9083040715366826,0.8511657861877688,1.0,0.9612710760663858,0.884723713421674,-0.047919105810679666,0.9943345060044609,0.048825813151032585,0.889230758566134,0.8928700205085482,-0.1206702049966617,0.6667876294551843,0.6167918937597148,0.10294586835449539,-0.28836607603222,-0.27229385422207314,0.01207056702471074,0.201684473896574,0.042540404864041814,0.22583823838234415,0.43697271348340927,0.024327851943586443,0.28535676043647157,0.1855706238582795,0.178057820945512,-0.056925679427620834,-0.1758823442187733,0.017108403473232538,0.04847469935979619,0.18944138972212277,0.18110597271275813,-0.14478239029065568,-0.34372469745367196,0.2328819591551735,0.313426448839396,0.40049794488830226,-0.047216294418431975,0.4243839019734443,-0.12218601985969661,-0.030292773577160037,-0.12892095083729663,-0.11881810641481699,-0.00676986629316974,-0.1110587164462667,0.4536085409039397,-0.01415481625279491,0.45761480731431964,0.108728078277821,-0.0379203017625185,0.13001879997958635,0.04858085528050772,0.22210748581699982,0.6241425139930857,0.6165852905192875,-0.044998599563210936,-0.11700873880955226,-0.0038990304627886875,-0.09965404230692537,-0.019400025046690268,0.022861007737601947,0.009332784815855808,-0.04477487821241294,-0.01592707548634131,0.6821156973423255,0.125466451606215,-0.13124662763197104,0.14178737360999022,0.16144660059574825,0.06214719973451702,0.095627991580918,0.667158466262036,0.13264409562648577,0.171097699171919,-0.007222501360270805,-0.01808563862993027,-0.0016993502751173194,-0.0017107280784932036
all_sfh,0.0874347520442849,0.801002927858173,0.9124840878320991,0.9517900731707923,0.9597012670947077,0.9257361141752746,0.9612710760663858,1.0,0.8558195355688418,-0.047358760781722846,0.9574239075110624,0.04265873126496088,0.8509426808158719,0.8633554827098628,-0.11334207118582937,0.6197957416121274,0.5682975358938275,0.09655761114177715,-0.26701890116322685,-0.24907715779912376,0.00835627122635288,0.2166151269210115,0.03571018260290589,0.2384781072137546,0.4212511202070676,0.02189492272181781,0.2736621619461974,0.19654562133125894,0.18999472295927955,-0.04640516975923846,-0.1846870126377968,0.002749117822136337,0.03974557415276307,0.22120572064093472,0.21908795949090085,-0.10822533261996975,-0.36008967181274587,0.1971183246175326,0.2858812388793251,0.40248371140796696,-0.045811473011198256,0.42334367176443083,-0.12514503074868513,-0.02854731066977879,-0.1308604736522782,-0.10653784797093276,-0.009797732110637626,-0.09799423622111753,0.44324852140095883,-0.015756524266230386,0.44665253459877235,0.10957486053177978,-0.03317540401714919,0.12774482956413244,0.04272926557719277,0.25001664974209575,0.611809232618762,0.6038639825236382,-0.04449818174307289,-0.13035144141069469,-0.005146973842535952,-0.09884993010140555,-0.020426395047468262,0.026918174633228358,0.0009808533856466304,-0.036320726238195634,-0.014766935875273165,0.6457807523539885,0.16459384511835512,-0.12368377146151945,0.17679847121097952,0.17947604167169007,0.05800521637616356,0.1119662457321702,0.6489450000557896,0.1283284797508864,0.21797729217079576,-0.0089024375643734,-0.01851746169441056,-0.0016410096236072421,-0.0016492904541853567
all_condo,0.10048745297020292,0.9145287842025148,0.9426226579742771,0.9066507552037723,0.8635794396853647,0.7647861155337446,0.884723713421674,0.8558195355688418,1.0,-0.08874063865186349,0.8849760580618077,-0.04550789124355984,0.7956793100504864,0.8168560120146829,0.10286099176746218,0.5157847576898074,0.4507496592805432,0.2095958460884809,-0.16822287059473284,-0.14479697905749353,0.012815787951272977,-0.059859126872877595,0.033192462804555414,-0.046814442444380044,0.41749103898159223,0.07832835798772643,0.3589081610076753,0.3118861148822677,0.15426880885220168,-0.1858875663286296,-0.1615152777011275,-0.007952334740669408,0.03903000927568129,0.3199693315712979,0.23606107642402938,-0.0354062138576288,-0.31566530915337854,-0.04493803308134679,0.11467378305802184,0.27014727376670095,-0.03841668453326313,0.2959886232032972,-0.050800651260048166,0.04146484120052962,-0.05782596229653343,-0.1869898828857566,-0.0049118860830086606,-0.18778618176590742,0.36318975391319586,-0.02232097565586264,0.3728409846374127,0.013594716578898722,-0.0007619257592341014,0.03984199792579816,0.03996522701128938,-0.03767505884191244,0.45580454392333436,0.43550876460967963,-0.027110518298025285,-0.22847189499734918,0.015180544668226808,-0.16492421075959138,0.01747393978972319,0.061741307697332784,0.027011256486319645,0.08027420710768393,0.1002421739030925,0.7910715706200048,-0.038854568094789134,0.04321185813478311,-0.07184971285416125,-0.13794536491043174,-0.20262720808630433,-0.13897632985247052,0.7222440117791302,0.8845224382608007,0.010273075106404695,0.07050039397491892,0.05345384988387223,-0.029005199407425936,-0.013032052893191539
all_homes_projections,-0.32093479648300544,-0.17813735462437774,-0.16247491079487064,-0.1325023426002059,-0.1356913361460144,-0.10461435436497932,-0.047919105810679666,-0.047358760781722846,-0.08874063865186349,1.0,-0.06575708304066522,0.42416784802992885,-0.2225633303140315,-0.12932445946363483,0.1723696248450845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028550183160010786,-0.11445733704513025,-0.12948238523432698,-0.09768336947183985,-0.07171491081622809,0.028107230844217988,-0.1078210257272977,-0.01965436031638413,-0.06555459432077694,-0.0979349392972269,0.012657314545442666,-0.012241649985698011,0.023437407929151055,0.027678171143227025
